mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.27655644416809083,0.016830213725986393,0.03562870025634766,0.0033693084444734664,300,20,4,log2,,"{'clf__n_estimators': 300, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__max_depth': None}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.26643953323364256,0.01033175882789186,0.04369335174560547,0.0033915423771574728,300,2,8,log2,15,"{'clf__n_estimators': 300, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__max_depth': 15}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.11344428062438965,0.011408561248169356,0.03478074073791504,0.016997238336377615,100,10,1,,15,"{'clf__n_estimators': 100, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': None, 'clf__max_depth': 15}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.10475645065307618,0.017642689903381022,0.022452926635742186,0.000752349681966992,100,2,8,,5,"{'clf__n_estimators': 100, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__max_depth': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.4458011150360107,0.014279786555268723,0.06156463623046875,0.0034323340895855005,500,10,1,log2,15,"{'clf__n_estimators': 500, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__max_depth': 15}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.2598550796508789,0.007175283775262553,0.04758915901184082,0.01431773339317589,300,10,2,,5,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.2015979766845703,0.023445124350247617,0.02658214569091797,0.00743662637131607,200,5,8,,15,"{'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__max_depth': 15}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.26874799728393556,0.014526202495395431,0.039939165115356445,0.005176097445002952,300,10,4,log2,10,"{'clf__n_estimators': 300, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__max_depth': 10}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.43894200325012206,0.029755439187936362,0.04464712142944336,0.004271806837147576,500,20,2,log2,5,"{'clf__n_estimators': 500, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__max_depth': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.09491729736328125,0.00744553451557646,0.03550677299499512,0.010833820457312585,100,10,1,log2,5,"{'clf__n_estimators': 100, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__max_depth': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.2723546028137207,0.022391443137677613,0.03654799461364746,0.004149264932305104,300,5,8,sqrt,15,"{'clf__n_estimators': 300, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__max_depth': 15}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.10165657997131347,0.015603338633310747,0.034749174118041994,0.011507268033569577,100,20,2,,20,"{'clf__n_estimators': 100, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': 20}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.10489039421081543,0.010459688642176628,0.023925590515136718,0.002502080092426718,100,20,2,log2,20,"{'clf__n_estimators': 100, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 2, 'clf__max_features': 'log2', 'clf__max_depth': 20}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.1811440944671631,0.026381846392260044,0.04486746788024902,0.012162542218353297,200,10,1,sqrt,5,"{'clf__n_estimators': 200, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.1724858283996582,0.00990172375174271,0.035027599334716795,0.008105132987231553,200,2,2,sqrt,15,"{'clf__n_estimators': 200, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 15}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.4722205638885498,0.026443033492062482,0.05118999481201172,0.014891019641999766,500,20,8,,10,"{'clf__n_estimators': 500, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__max_depth': 10}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.1759397029876709,0.010449778269488287,0.03098640441894531,0.008914994564154618,200,20,8,sqrt,15,"{'clf__n_estimators': 200, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 8, 'clf__max_features': 'sqrt', 'clf__max_depth': 15}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.17190003395080566,0.006812102890104251,0.034426546096801756,0.009827746367266478,200,2,4,sqrt,5,"{'clf__n_estimators': 200, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__max_depth': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.11141605377197265,0.020230438191059328,0.023121976852416994,0.005395849614336355,100,20,2,,5,"{'clf__n_estimators': 100, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__max_depth': 5}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.08855500221252441,0.006684239143717503,0.0181027889251709,0.0010159017345318208,100,2,8,,10,"{'clf__n_estimators': 100, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__max_depth': 10}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
